AppId: 0001, Risk: 58.636
AppId: 0002, Risk: 50.497
AppId: 0003, Risk: 63.558
AppId: 0004, Risk: 52.011
AppId: 0005, Risk: 66.572
AppId: 0006, Risk: 67.283
AppId: 0007, Risk: 62.000
AppId: 0008, Risk: 54.853
AppId: 0009, Risk: 51.713
AppId: 0010, Risk: 57.451
AppId: 0011, Risk: 62.000
AppId: 0012, Risk: 42.549
AppId: 0013, Risk: 63.558
AppId: 0014, Risk: 62.859
AppId: 0015, Risk: 58.636
AppId: 0016, Risk: 52.668
AppId: 0017, Risk: 54.853
AppId: 0018, Risk: 51.385
AppId: 0019, Risk: 62.000
AppId: 0020, Risk: 46.822
AppId: 0021, Risk: 63.069
AppId: 0022, Risk: 43.100
AppId: 0023, Risk: 49.056
AppId: 0024, Risk: 62.000
AppId: 0025, Risk: 40.278
AppId: 0026, Risk: 52.539
AppId: 0027, Risk: 69.303
AppId: 0028, Risk: 61.786
AppId: 0029, Risk: 62.000
AppId: 0030, Risk: 62.859
AppId: 0031, Risk: 51.666
AppId: 0032, Risk: 57.451
AppId: 0033, Risk: 49.467
AppId: 0034, Risk: 65.709
AppId: 0035, Risk: 61.353
AppId: 0036, Risk: 62.463
AppId: 0037, Risk: 51.957
AppId: 0038, Risk: 62.144
AppId: 0039, Risk: 62.859
AppId: 0040, Risk: 49.064
AppId: 0041, Risk: 43.412
AppId: 0042, Risk: 54.853
AppId: 0043, Risk: 46.242
AppId: 0044, Risk: 61.570
AppId: 0045, Risk: 54.257
AppId: 0046, Risk: 46.113
AppId: 0047, Risk: 62.000
AppId: 0048, Risk: 51.773
AppId: 0049, Risk: 57.701
AppId: 0050, Risk: 56.726
